#STN  YY   MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#txt  yr   mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi  hPa    ft
44258 2012 02 24 15 00 310  7.0 10.0   2.2    11    MM  MM 1006.6   3.0   2.2    MM   MM +2.4    MM
46004 2012 02 24 15 00  MM   MM   MM   4.1     8    MM  MM 1003.0    MM   6.2    MM   MM +4.9    MM
46036 2012 02 24 15 00 260 13.0 16.0   3.0     9    MM  MM 1000.7   5.8   6.9    MM   MM -3.1    MM
46087 2012 02 24 15 20 150 11.0 13.0    MM    MM    MM  MM 1013.8   7.3   7.4   6.1   MM   MM    MM
46088 2012 02 24 15 50 130 12.0 14.0    MM    MM    MM  MM     MM   5.4   7.3    MM   MM   MM    MM
46088 2012 02 24 15 20 130 12.0 15.0   1.2     5   4.2 115 1014.2   5.7   7.3    MM   MM   MM    MM
46109 2012 02 24 15 00 100  2.0   MM    MM    MM    MM  MM 1015.0   4.7   7.4    MM   MM -4.4    MM
46110 2012 02 24 15 00 110  2.0   MM    MM    MM    MM  MM 1015.3   4.9    MM    MM   MM -4.0    MM
46111 2012 02 24 15 00 120 12.0   MM    MM    MM    MM  MM 1016.2   6.4    MM    MM   MM -3.6    MM
46112 2012 02 24 15 00 140 11.0   MM    MM    MM    MM  MM 1016.6   6.3    MM    MM   MM -3.6    MM
46113 2012 02 24 15 00 160  3.0   MM    MM    MM    MM  MM 1018.5   5.7   7.6    MM   MM -3.1    MM
46114 2012 02 24 15 34  MM   MM   MM   3.4    13   9.4 301     MM    MM  10.3    MM   MM   MM    MM
46114 2012 02 24 15 04  MM   MM   MM   3.2    14   9.1 301     MM    MM  10.3    MM   MM   MM    MM
46131 2012 02 24 15 00 120 11.0 14.0   1.7     7    MM  MM 1011.8    MM   7.3    MM   MM -4.1    MM
46132 2012 02 24 15 00 200 10.0   MM    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
46146 2012 02 24 15 00 100 13.0 15.0   1.4     5    MM  MM 1015.5   4.4   6.7    MM   MM -3.6    MM
46147 2012 02 24 15 00 240  9.0 12.0   3.7    10    MM  MM  996.3   6.9   7.1    MM   MM -1.9    MM
46181 2012 02 24 15 00  40 10.0 13.0   0.3     2    MM  MM 1004.2   0.7   5.0    MM   MM -5.2    MM
46183 2012 02 24 15 00  50 10.0 12.0   1.7     7    MM  MM 1000.5   1.5   6.3    MM   MM -4.7    MM
46184 2012 02 24 15 00 330 13.0 15.0   3.0    10    MM  MM 1014.1   2.8   4.7    MM   MM +0.5    MM
46185 2012 02 24 15 00 140  9.0 15.0   4.4    10    MM  MM  996.2   6.2   6.7    MM   MM -5.6    MM
46204 2012 02 24 15 00 140 16.0 20.0   4.6     8    MM  MM  999.3   5.3   7.0    MM   MM -2.6    MM
46205 2012 02 24 15 00  30  8.0  9.0   2.4     9    MM  MM 1006.0   3.4   6.2    MM   MM -0.8    MM
46206 2012 02 24 15 00 180 11.0 14.0   3.2     7    MM  MM 1009.7   8.3   7.5    MM   MM -4.2    MM
46207 2012 02 24 15 00 240 10.0 14.0   3.2     8    MM  MM  998.9   7.2   7.3    MM   MM -2.1    MM
46211 2012 02 24 15 06  MM   MM   MM   2.4    13   6.1 267     MM    MM   8.1    MM   MM   MM    MM
46212 2012 02 24 15 42  MM   MM   MM   2.9    12   8.6 293     MM    MM   9.7    MM   MM   MM    MM
46212 2012 02 24 15 12  MM   MM   MM   2.5    13   8.0 302     MM    MM   9.8    MM   MM   MM    MM
46213 2012 02 24 15 24  MM   MM   MM   3.3    12   8.2 300     MM    MM  10.1    MM   MM   MM    MM
46214 2012 02 24 15 34  MM   MM   MM   3.2    13   8.8 307     MM    MM  10.2    MM   MM   MM    MM
